ID,Category,Strategy,Action,Description,Type,Priority,CSC Points,Status,% Complete,Target Date,Responsible Party,Funding,Implementation Projects,Notes
EM-01,Enabling Measures,Climate Action Tracking & Monitoring,Annual Village Climate Action Progress Reports,"Monitor, assess, and adapt Sleepy Hollow's Climate Action Plan (CAP) to ensure measurable progress toward sustainability goals.",Mitigation,Priority,20-35,Not Started,0,,,NYSDEC CSC Grant and Technical Assistance Program,,
EM-02,Enabling Measures,Sustained Climate Mobilization,Establish Village Climate Smart Coordinator,"Create a dedicated role to oversee Sleepy Hollow's climate initiatives, drive sustainability efforts, and secure funding for key projects.",Mitigation,Standard,20-35,Not Started,0,,,NYSDEC CSC Grant and Technical Assistance Program,,
CF-1.1a,Coastal Flooding,Manage Stormwater (Coastal),Study Watershed Systems,"Document and analyze where, when and why watershed systems fail during storm events.",Adaptation,Standard,,Not Started,0,,,,,
CF-1.1b,Coastal Flooding,Manage Stormwater (Coastal),Conduct a Survey and Historic Analysis,"Identify existing and historic wetlands, headwaters, and underground streams for further assessment and intermunicipal planning.",Adaptation,Standard,,Not Started,0,,,,,
CF-1.1c,Coastal Flooding,Manage Stormwater (Coastal),Design an Operations and Maintenance (O&M) Plan for Stormwater,"Ensure stormwater equipment and structures are renewed, operated and maintained with BMPs and updated regularly to account for climate change projections.",Adaptation,Standard,,Not Started,0,,,,,
CF-1.1d,Coastal Flooding,Manage Stormwater (Coastal),Develop a Management Plan for Watershed and Tributaries,Work with other municipalities and stakeholders along tributaries to develop a management plan addressing flooding causes in Sleepy Hollow.,Adaptation,Standard,,Not Started,0,,,Resilient Watersheds Implementation Grant Program,,
CF-1.2a,Coastal Flooding,Nature-Based Solutions (Coastal),Create and Preserve Natural Shorelines,Use native plants and natural elements in combination with engineered infrastructure to stabilize shorelines of the Hudson and Pocantico Rivers.,Adaptation,Standard,,Not Started,0,,,,,
CF-1.2b,Coastal Flooding,Nature-Based Solutions (Coastal),Upgrade Riverfront Parks,"Integrate riverfront parks with coastal flood risk reduction. Repair bulkheads, address erosion, resize culverts, manage sediment, and create natural buffers.",Adaptation,Standard,,Not Started,0,,,,,
CF-1.2c,Coastal Flooding,Nature-Based Solutions (Coastal),Investigate the Blue Buffers Program,Explore voluntary buyout program to protect homes and businesses from future flooding based on flood risk levels.,Adaptation,Standard,,Not Started,0,,,,,
CF-1.2d,Coastal Flooding,Nature-Based Solutions (Coastal),Upgrade Stormwater Infrastructure with Green Infrastructure,Integrate nature-based solutions and green infrastructure into any stormwater infrastructure upgrades.,Adaptation,Standard,,Not Started,0,,,,,
CF-1.3a,Coastal Flooding,Safeguard Public Health,Reengineer the CSOs,"Survey, evaluate, and strategically reengineer or replace combined sewer outfalls along the Hudson and Pocantico Rivers.",Adaptation,Standard,,Not Started,0,,,,,
CF-1.3b,Coastal Flooding,Safeguard Public Health,Upgrade Wastewater Infrastructure,Upgrade aging 30-inch sewer main line parallel to Hudson River carrying wastewater to Yonkers treatment plant.,Adaptation,Standard,,Not Started,0,,Westchester County,,,
CF-1.3c,Coastal Flooding,Safeguard Public Health,Monitor & Report Water Quality,"Develop a system for monitoring water quality and reporting it to the public, coordinated with adjacent river communities.",Adaptation,Standard,,Not Started,0,,,,,
CF-1.3d,Coastal Flooding,Safeguard Public Health,Reduce Untreated Runoff (direct discharge),Inventory all sources of untreated runoff and develop a plan for filtering and redirecting them. Integrate green infrastructure into parking lots.,Adaptation,Standard,,Not Started,0,,,,,
CF-1.4a,Coastal Flooding,Secure Fresh Water Supply,Protect Reservoir & Adjacent Communities,Maintain dam and infrastructure serving freshwater reservoirs. Address concerns about algal blooms and dam failures.,Adaptation,Standard,,Not Started,0,,,,,
CF-1.4b,Coastal Flooding,Secure Fresh Water Supply,Plan for Drawdown,Plan and coordinate lake level drawdowns to offset flooding during storm conditions.,Adaptation,Standard,,Not Started,0,,,,,
CF-1.4c,Coastal Flooding,Secure Fresh Water Supply,Protect Habitat,Improve water quality to support clean drinking water and healthy habitats for communities and ecosystems.,Adaptation,Standard,,Not Started,0,,,,,
CF-1.5a,Coastal Flooding,Reconnect with the Rivers,"Add More Hudson River Swimming, Boating, Fishing, and Kayaking",Add more water-dependent recreational opportunities on the Hudson River. Prioritize in zoning codes and project review procedures.,Adaptation,Standard,,Not Started,0,,,,,
CF-1.5b,Coastal Flooding,Reconnect with the Rivers,Prioritize Water-in/Water-out Businesses on the Hudson River,Revitalize economic development on former industrial areas and transition from road to rivers ('Blue Highway'). Emergency planning for waterborne transportation.,Adaptation,Standard,,Not Started,0,,,,,
IF-2.1a,Inland Flooding,Restore Natural Hydrology,Prioritize a Network of Sponge Streetscapes,"Integrate green infrastructure along key street corridors â€” tree boxes, permeable paving, bioswales, and native plantings. Prioritize safe walking routes to schools.",Adaptation,Standard,,Not Started,0,,,,,
IF-2.1b,Inland Flooding,Restore Natural Hydrology,Unite around a Sponge Core (Sleepy Hollow Commons),Transform Sleepy Hollow Commons into the Sponge Core that restores watershed hydrology and wetland functions while providing central public open space.,Adaptation,Standard,,Not Started,0,,,,East Parcel Sustainability & Resiliency Plan,
IF-2.1c,Inland Flooding,Restore Natural Hydrology,Encourage Sponge Lawns,"Help residents adapt front and rear lawns into stormwater gardens that naturally slow, absorb, and recycle rainfall.",Adaptation,Standard,,Not Started,0,,,,,
IF-2.2a,Inland Flooding,Manage Stormwater (Inland),Survey & Historic Analysis,"Identify existing and historic wetlands, headwaters, and underground streams. Many basement/yard flooding traced to former streams on historic maps.",Adaptation,Standard,,Not Started,0,,,,,
IF-2.2b,Inland Flooding,Manage Stormwater (Inland),Manage Brooks and Study Daylighting Streams,"Evaluate streams for culvert sizes, road crossings, debris collection. Consider daylighting opportunities (e.g., Andre Brook through Reverend Sykes Park).",Adaptation,Standard,,Not Started,0,,,,,
IF-2.2c,Inland Flooding,Manage Stormwater (Inland),Manage Upstream Inputs,"Collaborate with upstream towns (Ossining, Mount Pleasant, New Castle, Briarcliff Manor, Pleasantville) to manage inputs into the Pocantico River.",Adaptation,Standard,,Not Started,0,,,,,
IF-2.3a,Inland Flooding,Green Infrastructure (Inland),Upgrade Stormwater Infrastructure,Upgrade and renew outdated stormwater and sewer infrastructure along with regular maintenance cycles.,Adaptation,Standard,,Not Started,0,,,,,
IF-2.4a,Inland Flooding,Engage Village Residents,Provide Opportunities for Green Stewardship,Create community ownership through Adopt-a-Swale/Tree and Greenest Street programs. Encourage residents to maintain local green spaces.,Adaptation,Standard,,Not Started,0,,,,,
IF-2.4b,Inland Flooding,Engage Village Residents,Publish a Homeowner's Handbook,"Provide guidance on green infrastructure practices for homeowners including rain barrels, rain gardens, and sponge lawn techniques.",Adaptation,Standard,,Not Started,0,,,,,
IF-2.4c,Inland Flooding,Engage Village Residents,Launch a Pilot Project,"Pilot project on one side of a block in Philipse Manor with homeowner improvements, monitored against the other side over four seasons.",Adaptation,Standard,,Not Started,0,,,,,
RT-3.1a,Rising Temperatures,Design Cool Corridors,Develop Sustainable Streetscape Guidelines,"Set streetscape design benchmarks including expanding street tree canopy, shade structures, and reflective surface improvements for heat adaptation.",Adaptation,Standard,,Not Started,0,,,,,
RT-3.1b,Rising Temperatures,Design Cool Corridors,Create Community Cooling Centers,Create family-friendly cooling centers by reusing public buildings. Consider Galgano Senior Center as pilot. Tap Clean Green Schools program for funding.,Adaptation,Standard,,Not Started,0,,,NYS Clean Green Schools Program,,
RT-3.2a,Rising Temperatures,Create Village Forestry Program,Increase Urban Tree Canopy,Enhance natural shade and cooling through increased urban forestry. Trees intercept snow/rainwater and reduce runoff. Build on 150-tree anniversary planting.,Adaptation,Standard,,Not Started,0,,,,Village Forestry and Stewardship Program,
RT-3.2b,Rising Temperatures,Create Village Forestry Program,Conserve Natural Forests,"Develop strategies to improve ecological resources, regulate development on hillsides and steep slopes, conserve existing forests from encroachment.",Adaptation,Standard,,Not Started,0,,,,,
RT-3.2c,Rising Temperatures,Create Village Forestry Program,Develop Fire-Management & Evacuation Plans,"Update fire-management plans, emergency training and exercises. Develop east/west evacuation strategies for fires and floods. Address volunteer fire force response times.",Adaptation,Standard,,Not Started,0,,,,,
RT-3.3a,Rising Temperatures,Strengthen Food Systems,Buy Local/Buy Green,Continue supporting Farm-to-Table and Buy Local/Buy Green movements. Support TASH outdoor market and Stone Barns Center partnerships.,Adaptation,Standard,,Not Started,0,,,,,
RT-3.3b,Rising Temperatures,Strengthen Food Systems,Encourage Community Gardens and Kitchens,Allocate resources to support community gardens and encourage shared commissary kitchens for small businesses.,Adaptation,Standard,,Not Started,0,,,,,
RT-3.3c,Rising Temperatures,Strengthen Food Systems,Shift Consumption Patterns,Promote education around shifting to less resource-dependent plant-based diets. Reduce food waste to lower Village solid waste treatment costs.,Adaptation,Standard,,Not Started,0,,,,,
RT-3.3d,Rising Temperatures,Strengthen Food Systems,Reduce Food Insecurity,Support food coops and food pantries to safeguard food security in Sleepy Hollow. Address interconnected chronic stressors such as inequity.,Adaptation,Standard,,Not Started,0,,,,,
RT-3.4a,Rising Temperatures,Reconnect with Pocantico River,Collaborate on Water Quality Improvements for Future Swimming and Fishing,Long-term opportunity requiring water quality analysis during hotter seasons. Collaborate with upstream Villages to improve Pocantico River water quality.,Adaptation,Standard,,Not Started,0,,,,,
